algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,600,99,14,7,30,9,33.61,125.45,19,AMZN,close
lstm_lookback_window,900,165,14,1,30,5,18.81,71.9,40,AMZN,close
lstm_lookback_window,900,159,14,7,30,3,29.98,146.78,37,AMZN,close
lstm_lookback_window,300,31,28,1,30,1,20.06,70.05,63,AMZN,close
lstm_lookback_window,300,25,28,7,30,5,36.68,182.79,19,AMZN,close
lstm_lookback_window,600,91,28,1,30,1,15.44,156.31,125,AMZN,close
lstm_lookback_window,600,85,28,7,30,5,31.31,125.15,36,AMZN,close
lstm_lookback_window,900,151,28,1,30,1,13.84,56.14,199,AMZN,close
lstm_lookback_window,900,145,28,7,30,5,29.07,114.64,42,AMZN,close
lstm_lookback_window,300,56,3,1,40,4,17.68,42.25,32,AMZN,close
lstm_lookback_window,300,50,3,7,40,5,35.84,199.26,35,AMZN,close
lstm_lookback_window,600,116,3,1,40,4,14.59,38.42,68,AMZN,close
lstm_lookback_window,600,110,3,7,40,5,31.04,83.43,76,AMZN,close
lstm_lookback_window,900,176,3,1,40,4,12.21,63.89,122,AMZN,close
lstm_lookback_window,900,170,3,7,40,5,28.17,113.45,96,AMZN,close
lstm_lookback_window,300,52,7,1,40,4,19.55,65.6,29,AMZN,close
lstm_lookback_window,300,46,7,7,40,2,36.43,202.82,65,AMZN,close
lstm_lookback_window,600,112,7,1,40,4,16.93,51.77,65,AMZN,close
lstm_lookback_window,600,106,7,7,40,2,31.01,119.37,166,AMZN,close
lstm_lookback_window,900,172,7,1,40,4,15.22,98.94,106,AMZN,close
lstm_lookback_window,900,166,7,7,40,2,27.65,106.5,245,AMZN,close
lstm_lookback_window,300,45,14,1,40,5,22.1,89.98,70,AMZN,close
lstm_lookback_window,300,39,14,7,40,3,37.66,155.62,71,AMZN,close
lstm_lookback_window,600,105,14,1,40,5,20.02,111.93,43,AMZN,close
lstm_lookback_window,600,99,14,7,40,9,33.51,133.41,66,AMZN,close
lstm_lookback_window,900,165,14,1,40,5,15.57,64.15,46,AMZN,close
lstm_lookback_window,900,159,14,7,40,3,30.17,95.11,63,AMZN,close
lstm_lookback_window,300,31,28,1,40,1,15.78,65.04,61,AMZN,close
lstm_lookback_window,300,25,28,7,40,5,36.64,120.38,32,AMZN,close
lstm_lookback_window,600,91,28,1,40,1,14.2,101.86,101,AMZN,close
lstm_lookback_window,600,85,28,7,40,5,30.56,136.88,46,AMZN,close
lstm_lookback_window,900,151,28,1,40,1,13.05,212.44,171,AMZN,close
lstm_lookback_window,900,145,28,7,40,5,30.8,128.45,71,AMZN,close
