algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,1500,286,7,7,40,2,51.89,49.91,156,GOOGL,close
lstm_time_steps,300,45,14,1,40,5,15.29,42.76,21,GOOGL,close
lstm_time_steps,300,39,14,7,40,3,28.34,94.14,39,GOOGL,close
lstm_time_steps,600,105,14,1,40,5,15.07,46.45,53,GOOGL,close
lstm_time_steps,600,99,14,7,40,9,26.73,86.3,33,GOOGL,close
lstm_time_steps,900,165,14,1,40,5,13.75,26.29,52,GOOGL,close
lstm_time_steps,900,159,14,7,40,3,27.6,50.49,106,GOOGL,close
lstm_time_steps,1200,225,14,1,40,15,29.94,21.34,34,GOOGL,close
lstm_time_steps,1200,219,14,7,40,3,56.93,64.38,147,GOOGL,close
lstm_time_steps,1500,285,14,1,40,15,32.89,22.19,37,GOOGL,close
lstm_time_steps,1500,279,14,7,40,9,53.39,41.95,60,GOOGL,close
lstm_time_steps,300,31,28,1,40,1,12.47,24.31,150,GOOGL,close
lstm_time_steps,300,25,28,7,40,5,27.68,124.33,30,GOOGL,close
lstm_time_steps,600,91,28,1,40,1,9.51,21.53,309,GOOGL,close
lstm_time_steps,600,85,28,7,40,5,25.86,55.17,73,GOOGL,close
lstm_time_steps,900,151,28,1,40,1,10.3,19.73,457,GOOGL,close
lstm_time_steps,900,145,28,7,40,5,27.89,48.09,82,GOOGL,close
lstm_time_steps,1200,211,28,1,40,1,21.37,15.53,659,GOOGL,close
lstm_time_steps,1200,205,28,7,40,5,55.44,46.01,127,GOOGL,close
lstm_time_steps,1500,271,28,1,40,1,20.06,14.42,829,GOOGL,close
lstm_time_steps,1500,265,28,7,40,5,50.97,54.46,145,GOOGL,close
lstm_time_steps,300,56,3,1,50,4,13.39,28.13,13,GOOGL,close
lstm_time_steps,300,50,3,7,50,5,28.22,64.53,11,GOOGL,close
lstm_time_steps,600,116,3,1,50,4,11.59,21.38,24,GOOGL,close
lstm_time_steps,600,110,3,7,50,5,25.22,59.02,20,GOOGL,close
lstm_time_steps,900,176,3,1,50,4,13.07,24.63,34,GOOGL,close
lstm_time_steps,900,170,3,7,50,5,27.82,51.25,27,GOOGL,close
lstm_time_steps,1200,236,3,1,50,4,30.62,33.61,47,GOOGL,close
lstm_time_steps,1200,230,3,7,50,5,58.41,44.2,35,GOOGL,close
lstm_time_steps,1500,296,3,1,50,4,24.61,21.31,40,GOOGL,close
lstm_time_steps,1500,290,3,7,50,5,53.61,42.67,35,GOOGL,close
lstm_time_steps,300,52,7,1,50,4,13.94,31.29,15,GOOGL,close
lstm_time_steps,300,46,7,7,50,2,29.26,65.99,29,GOOGL,close
lstm_time_steps,600,112,7,1,50,4,14.61,30.35,32,GOOGL,close
lstm_time_steps,600,106,7,7,50,2,25.34,57.68,51,GOOGL,close
lstm_time_steps,900,172,7,1,50,4,14.98,26.04,37,GOOGL,close
lstm_time_steps,900,166,7,7,50,2,27.22,48.98,73,GOOGL,close
lstm_time_steps,1200,232,7,1,50,4,21.41,14.75,51,GOOGL,close
lstm_time_steps,1200,226,7,7,50,2,55.89,45.27,103,GOOGL,close
lstm_time_steps,1500,292,7,1,50,4,19.98,13.9,69,GOOGL,close
lstm_time_steps,1500,286,7,7,50,2,51.83,39.54,118,GOOGL,close
lstm_time_steps,300,45,14,1,50,5,17.5,38.58,17,GOOGL,close
lstm_time_steps,300,39,14,7,50,3,28.31,81.32,26,GOOGL,close
lstm_time_steps,600,105,14,1,50,5,15.78,42.76,35,GOOGL,close
lstm_time_steps,600,99,14,7,50,9,26.21,55.14,23,GOOGL,close
lstm_time_steps,900,165,14,1,50,5,12.32,20.45,51,GOOGL,close
lstm_time_steps,900,159,14,7,50,3,27.19,45.51,85,GOOGL,close
lstm_time_steps,1200,225,14,1,50,15,25.93,26.63,23,GOOGL,close
lstm_time_steps,1200,219,14,7,50,3,56.18,47.28,94,GOOGL,close
lstm_time_steps,1500,285,14,1,50,15,26.91,19.44,28,GOOGL,close
lstm_time_steps,1500,279,14,7,50,9,55,39.54,48,GOOGL,close
lstm_time_steps,300,31,28,1,50,1,12.53,31.25,119,GOOGL,close
lstm_time_steps,300,25,28,7,50,5,25.38,147.07,29,GOOGL,close
lstm_time_steps,600,91,28,1,50,1,10.58,22.67,256,GOOGL,close
lstm_time_steps,600,85,28,7,50,5,25.61,57.42,72,GOOGL,close
lstm_time_steps,900,151,28,1,50,1,10.27,18.68,395,GOOGL,close
lstm_time_steps,900,145,28,7,50,5,27,48.03,82,GOOGL,close
lstm_time_steps,1200,211,28,1,50,1,21.59,15.72,549,GOOGL,close
