algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,600,112,7,1,40,4,2.04,3.57,18,AAPL,close
lstm_lookback_window,600,106,7,7,40,2,4.11,7.28,28,AAPL,close
lstm_lookback_window,900,172,7,1,40,4,1.95,4.85,24,AAPL,close
lstm_lookback_window,900,166,7,7,40,2,4.36,6.85,38,AAPL,close
lstm_lookback_window,300,45,14,1,40,5,2.54,3.65,11,AAPL,close
lstm_lookback_window,300,39,14,7,40,3,4.79,6.4,13,AAPL,close
lstm_lookback_window,600,105,14,1,40,5,2.31,4.86,16,AAPL,close
lstm_lookback_window,600,99,14,7,40,9,4.58,7.53,12,AAPL,close
lstm_lookback_window,900,165,14,1,40,5,2.01,4.49,21,AAPL,close
lstm_lookback_window,900,159,14,7,40,3,4.38,6.97,29,AAPL,close
lstm_lookback_window,300,31,28,1,40,1,1.88,3.15,28,AAPL,close
lstm_lookback_window,300,25,28,7,40,5,4.69,7.6,12,AAPL,close
lstm_lookback_window,600,91,28,1,40,1,1.87,6.28,49,AAPL,close
lstm_lookback_window,600,85,28,7,40,5,4.27,9.79,18,AAPL,close
lstm_lookback_window,900,151,28,1,40,1,2.26,11.7,71,AAPL,close
lstm_lookback_window,900,145,28,7,40,5,4.42,14.78,20,AAPL,close
