algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,600,91,28,1,30,1,5.66,15.14,225,AAPL,close
lstm_stacked_memory,600,85,28,7,30,5,5.4,11.31,56,AAPL,close
lstm_stacked_memory,900,151,28,1,30,1,6.17,5.04,305,AAPL,close
lstm_stacked_memory,900,145,28,7,30,5,8.76,8.76,76,AAPL,close
lstm_stacked_memory,300,56,3,1,40,4,3.48,7.49,30,AAPL,close
lstm_stacked_memory,300,50,3,7,40,5,5.54,12.86,29,AAPL,close
lstm_stacked_memory,600,116,3,1,40,4,4.63,27.8,41,AAPL,close
lstm_stacked_memory,600,110,3,7,40,5,5.53,15.52,39,AAPL,close
lstm_stacked_memory,900,176,3,1,40,4,3.65,13.24,54,AAPL,close
lstm_stacked_memory,900,170,3,7,40,5,8.62,15.43,46,AAPL,close
lstm_stacked_memory,300,52,7,1,40,4,3.61,5.45,35,AAPL,close
lstm_stacked_memory,300,46,7,7,40,2,5.73,6.52,49,AAPL,close
lstm_stacked_memory,600,112,7,1,40,4,3.91,8.72,50,AAPL,close
lstm_stacked_memory,600,106,7,7,40,2,7.46,12.54,76,AAPL,close
lstm_stacked_memory,900,172,7,1,40,4,3.33,3.89,65,AAPL,close
lstm_stacked_memory,900,166,7,7,40,2,8.04,11.08,105,AAPL,close
lstm_stacked_memory,300,45,14,1,40,5,4.06,6.71,39,AAPL,close
lstm_stacked_memory,300,39,14,7,40,3,5.55,6.6,49,AAPL,close
lstm_stacked_memory,600,105,14,1,40,5,4.09,6.37,62,AAPL,close
lstm_stacked_memory,600,99,14,7,40,9,5.24,10.6,42,AAPL,close
lstm_stacked_memory,900,165,14,1,40,5,5.04,10.07,81,AAPL,close
lstm_stacked_memory,900,159,14,7,40,3,8.73,13.38,117,AAPL,close
lstm_stacked_memory,300,31,28,1,40,1,4.21,3.07,158,AAPL,close
lstm_stacked_memory,300,25,28,7,40,5,5.61,7.21,50,AAPL,close
lstm_stacked_memory,600,91,28,1,40,1,4.43,5.14,278,AAPL,close
lstm_stacked_memory,600,85,28,7,40,5,5.23,8.72,77,AAPL,close
lstm_stacked_memory,900,151,28,1,40,1,5.99,4.0,417,AAPL,close
lstm_stacked_memory,900,145,28,7,40,5,7.73,9.88,104,AAPL,close
